restaurant_name,rating,average_price,average _delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,,City
Aahar Vihar,4.2,100,33,0,1,0,0,1,0,,Ahmedabad
Aahare Kolkata,4.2,200,58,0,1,0,0,0,0,,Ahmedabad
Aaheli - The Peerless Inn,4,250,42,0,0,0,0,0,0,,Ahmedabad
Aaheli Express- The Peerless Inn,4.1,100,45,0,0,0,0,0,1,,Ahmedabad
Aaheli Fresh Foods,4,150,53,0,0,1,1,1,0,,Ahmedabad
Aai Chinese,3.8,100,22,0,0,0,0,0,0,,Ahmedabad
Aai Chya Hatache,3.9,150,34,0,0,0,0,0,0,,Ahmedabad
Aaicha Swayampak Maharashtrian Restaurant,4,100,36,0,1,0,0,0,0,,Ahmedabad
Aaichi Athvan Parcel Point,3.6,300,43,0,0,0,0,0,0,,Ahmedabad
Aaichi Shidori 24*7,4.1,150,54,0,1,0,0,0,0,,Ahmedabad
Aaiye Jnaab Khaiye,3.8,100,39,0,1,1,0,0,0,,Ahmedabad
Aakash Hotel,3.6,100,33,0,1,0,0,0,0,,Ahmedabad
Aakash Sweets Namkeen & Fastfood,4,50,41,0,0,0,0,0,0,,Ahmedabad
Aala Biryani,3.8,100,52,0,1,0,0,1,0,,Ahmedabad
Aali Re Thali,4.2,100,29,0,1,0,0,0,0,,Ahmedabad
Aalishan Pan and Parlour,4.1,100,23,0,0,0,1,0,0,,Ahmedabad
Aalishan Restaurant,3.9,300,27,0,1,0,0,1,0,,Ahmedabad
Aama Ko Kitchen,3.6,10,38,0,0,1,0,0,0,,Ahmedabad
Aamantran Fast Food,4.2,150,31,0,0,1,1,0,0,,Ahmedabad
Aamantran Pure Veg,4.2,200,37,0,1,0,0,0,0,,Ahmedabad
Aamantran Restaurant,4.2,200,25,1,1,0,1,0,0,,Ahmedabad
Aamar Bangla Restaurant,3.8,100,56,0,0,0,0,0,0,,Ahmedabad
Aamchi Mumbai,4.3,250,32,0,0,1,1,0,0,,Ahmedabad
Aamhi Marathi,3.8,150,25,0,0,0,0,1,0,,Ahmedabad
Aamhi Pohekar,4.6,150,14,0,0,0,1,0,0,,Ahmedabad
Aami Bangali,3.6,150,27,0,1,0,0,1,0,,Ahmedabad
Aami Bangali,3.8,100,33,0,0,0,0,0,0,,Ahmedabad
